URI,ASN,IP Prefix,Max Length,Not Before,Not After
"rsync://repository.lacnic.net/rpki/lacnic/a160d1fd-04d6-430b-a8a3-f87fa043fbd3/10b710691eecd9afef659a76850636fb855a9f96.roa",AS27980,200.1.7.0/24,24,2013-03-21 16:20:48,2018-03-21 16:20:48
"rsync://repository.lacnic.net/rpki/lacnic/e4f69543-4d8e-4346-be7c-688608eb37b5/0105c999e702302aa7e123c4643f39e63c6e55cf.roa",AS11960,200.0.16.0/24,32,2013-03-21 16:22:38,2018-03-21 16:22:38
"rsync://repository.lacnic.net/rpki/lacnic/e4f69543-4d8e-4346-be7c-688608eb37b5/8e40b00bf473d15c5dbb3d1235198c46245b44b7.roa",AS11960,2001:13c8::/32,128,2013-03-21 16:22:38,2018-03-21 16:22:38
"rsync://repository.lacnic.net/rpki/lacnic/3cd882de-9daa-41a1-b40d-0e4641e1416a/10d55e72cf03c24fa3bbcc4a2ecdb29861f6fc15.roa",AS5722,168.176.0.0/16,24,2013-09-13 03:00:00,2015-09-13 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/3cd882de-9daa-41a1-b40d-0e4641e1416a/7d543853040e63bfb31bb9918bf043397e686093.roa",AS5722,168.176.0.0/16,24,2013-09-13 03:00:00,2015-09-13 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/20439496-52c4-4501-8948-60bd930a32ec/316d9f0d77d5e5904c9224aeab2a8b6f0d9b9402.roa",AS27947,157.100.0.0/16,24,2013-09-05 03:00:00,2015-09-05 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/20439496-52c4-4501-8948-60bd930a32ec/94075e679247e7c1f69abad93fa7058c9e1dd8d5.roa",AS23216,157.100.0.0/16,24,2013-09-05 03:00:00,2015-09-05 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/a9b1f2c0-2a57-42bd-8030-470f167d3635/a735002a12e98aeb7c4cd0c71bccf9d5648b7e9a.roa",AS27897,158.170.0.0/16,17,2013-09-12 03:00:00,2015-09-12 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/8f0da6a8-ceab-420c-80b6-22a982572930/35f10da295ccb3b0b208d5cd75568887df711451.roa",AS27820,192.188.50.0/24,24,2013-09-10 03:00:00,2015-09-10 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/ff445251-d4bb-4cc9-b424-1215304bf623/f21cbc35fc40476371138a3bab8dbc93396e5d13.roa",AS17401,209.99.224.0/20,24,2013-09-16 03:00:00,2015-09-16 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/9cc8cb60-ae85-4c9f-a7bc-3cc7ab0ce3ce/694f82bdd2d14b315d9bd071ae0ab821e2e41dc0.roa",AS28027,192.188.59.0/24,24,2013-09-05 03:00:00,2015-09-05 03:00:00
"rsync://repository.lacnic.net/rpki/lacnic/a1e53810-9282-4806-9f11-1a58e1f395af/46739b407cf1d493d8380a784189ef9adfead9b5.roa",AS52343,192.188.51.0/24,25,2013-09-04 03:00:00,2015-09-04 03:00:00
